,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
92,"Getting Back In Shape: Our Secrets, Tips, & Strategy | Boho Frequency w/Juliana & Mark Spicoluk Ep10",zMRYa6nM_oM,2021-04-26T14:55:28Z,76431.0,2006.0,33.0,203.0,zMRYa6nM_oM,0 days 01:11:50,4310.0
93,"Blissful Yoga Flow For Unsettling Times | Yoga To Find Balance, Strength & Peace At Home",ENr27Q1hKsw,2020-05-11T21:14:05Z,652222.0,16318.0,185.0,546.0,ENr27Q1hKsw,0 days 00:17:46,1066.0
94,"30 Min Full Body Flow | Yoga To Stretch, Breathe, & Feel The Bliss",6zzeSJxJS4s,2020-05-11T21:13:24Z,909893.0,22505.0,233.0,706.0,6zzeSJxJS4s,0 days 00:28:39,1719.0
95,15 Min Yoga To Feel Your Best | Give Yourself The Gift Of Yoga 🎄,xjsnbooOUdk,2020-12-20T13:45:58Z,261140.0,10077.0,47.0,283.0,xjsnbooOUdk,0 days 00:18:30,1110.0
96,Total Body Yoga Class | Blissful Yoga For Internal Joy & Strength Guaranteed,b4ICNbt-XdA,2020-06-02T04:46:19Z,395568.0,12206.0,81.0,443.0,b4ICNbt-XdA,0 days 00:30:59,1859.0
97,Perfect Morning Yoga | 30 Min Yoga Practice To Kick Start Your Body,oA6vjBPlmCE,2020-05-11T21:13:24Z,787467.0,18015.0,324.0,629.0,oA6vjBPlmCE,0 days 00:33:19,1999.0
98,30 Min Yoga Flow For Full Body & Mind | Breathing Into Blissful Being,g4wbPoWvsdo,2020-05-11T21:13:24Z,913844.0,20071.0,143.0,603.0,g4wbPoWvsdo,0 days 00:36:44,2204.0
99,30 Min Feel Good Yoga Class | Total Body Yoga Bliss For The Soul,v7Vv4ecSCTQ,2020-05-17T14:57:24Z,543094.0,13453.0,155.0,581.0,v7Vv4ecSCTQ,0 days 00:31:27,1887.0
100,Total Body Yoga Flow | Morning Yoga Class: Awaken,NKiGZktresA,2020-05-11T21:14:38Z,1805613.0,33596.0,557.0,896.0,NKiGZktresA,0 days 00:24:00,1440.0
101,"30 Min Total Body Yoga Flow | Breathe, Stretch, & Feel Your Best",rqmuZFgSey4,2021-04-25T13:19:11Z,404820.0,11897.0,103.0,378.0,rqmuZFgSey4,0 days 00:29:33,1773.0
